Filename,DOI,Relevance_Score,Species,Gene,Mod_Type,Phenotype,Quant_Data,Promoter,Terminator,Application_Category
6722425.pdf,10.3389/fnut.2019.00133,0.8,solanum lycopersicum,Aft,Introgression,Anthocyanin-rich fruits,Total carotenoids: 211.3 μg/g dry weight; Total phenolics: 8.6 mg/g dry weight,,,"Nutraceuticals, Above-ground biomass property"
7475256.pdf,10.1093/jxb/eraa179,0.9,oryza sativa,OsPAP10c,Overexpression,Increased root-associated APase activity; Improved growth under phosphate-deficient conditions,"Root-associated APase activity: 1.5 μmol pNP h^-1 g^-1 FW (WT), 0.5 μmol pNP h^-1 g^-1 FW (mutants); Fresh weight increase under Pi-deficient conditions",Ubiquitin promoter,,"Above-ground biomass property, Biosensing, Disease resistance, Nutrient utilization"
7475256.pdf,10.1093/jxb/eraa179,0.8,oryza sativa,OsPAP10c,Mutant,Decreased secreted APase activity; Reduced growth under phosphate-deficient conditions,"Secreted APase activity: 3 μmol pNP min^-1 mg^-1 protein (WT), 1 μmol pNP min^-1 mg^-1 protein (mutants)",Ubiquitin promoter,,"Above-ground biomass property, Biosensing, Disease resistance, Nutrient utilization"
7475256.pdf,10.1093/jxb/eraa179,0.7,arabidopsis thaliana,AtPAP10,Overexpression,Complementation of white root phenotype; Increased root-associated APase activity,"Root-associated APase activity: 1.5 μmol pNP h^-1 g^-1 FW (WT), 0.5 μmol pNP h^-1 g^-1 FW (mutants)",Ubiquitin promoter,,"Above-ground biomass property, Biosensing, Disease resistance, Nutrient utilization"
9907050.pdf,10.1093/hr/uhac258,0.9,populus,miR390b,Overexpression,Stem elongation,Length from apex to node 10 increased by 30%; Internode length increased by 30%,,,"Above-ground biomass property, Above-ground biomass yield"
6993525.pdf,10.1186/s12870-020-2248-2,0.9,wheat,TaSTP13,expression analysis,susceptibility to stripe rust,expression levels induced by Pst infection; increased glucose accumulation,,,"Disease resistance, Gene expression"
6993525.pdf,10.1186/s12870-020-2248-2,0.8,wheat,TaSTP13,overexpression,enhanced susceptibility to powdery mildew,increased conidiophores per colony; higher glucose content,,,"Disease resistance, Gene expression"
4091783.pdf,10.1371/journal.pgen.1004464,0.9,arabidopsis thaliana,TOPP4,Gene Overexpression,Increased plant height and organ size,Plant height increased by 50%; Organ size increased by 30%,,,"Above-ground biomass property, Above-ground biomass yield"
4091783.pdf,10.1371/journal.pgen.1004464,0.8,arabidopsis thaliana,TOPP4,Gene Knockdown,Decreased plant height and organ size,Plant height decreased by 40%; Organ size decreased by 20%,,,"Above-ground biomass property, Above-ground biomass yield"
4091783.pdf,10.1371/journal.pgen.1004464,0.7,arabidopsis thaliana,RGA,Gene Deletion,Increased plant height,Plant height increased by 20%,CaMV 35S,NOS,"Above-ground biomass property, Above-ground biomass yield"
4091783.pdf,10.1371/journal.pgen.1004464,0.7,arabidopsis thaliana,GAI,Gene Deletion,Increased plant height,Plant height increased by 20%,35S,,"Above-ground biomass property, Above-ground biomass yield"
5434062.pdf,10.1038/s41598-017-02207-z,0.9,oryza sativa,cry1Ab,Transgenic,Resistance to lepidopteran pests,,,,Disease resistance
5434062.pdf,10.1038/s41598-017-02207-z,0.9,oryza sativa,cry1Ac,Transgenic,Resistance to lepidopteran pests,,,,Disease resistance
5434062.pdf,10.1038/s41598-017-02207-z,0.9,oryza sativa,cry2Aa,Transgenic,Resistance to lepidopteran pests,,,,Disease resistance
5434062.pdf,10.1038/s41598-017-02207-z,0.9,oryza sativa,cry1Ca,Transgenic,Resistance to lepidopteran pests,,,,Disease resistance
5155521.pdf,10.1242/bio.017244,0.9,arabidopsis thaliana,FWA,RNA methylation,Hypo-methylation of FWA promoter,CHG methylation decreased; CHH methylation decreased,,,"Gene expression, RNA silencing"
5155521.pdf,10.1242/bio.017244,0.9,arabidopsis thaliana,FWA,siRNA accumulation,Increased siRNA accumulation,24nt siRNA levels increased,,,"Gene expression, RNA silencing"
5155521.pdf,10.1242/bio.017244,0.9,arabidopsis thaliana,SN1,Transposon activation,Accumulation of SN1 retrotransposon,SN1 expression levels increased,,,"Gene expression, RNA silencing"
10855346.pdf,10.3390/ijms25031497,0.9,oryza sativa,Os04g0506800,Missense Mutation,Early tillering vigor,Fold Change: 2.03; LOD: 6.18,,,"Above-ground biomass property, Fruit Property, Leaf property"
10855346.pdf,10.3390/ijms25031497,0.85,oryza sativa,Os04g0456900,Missense Mutation,Ethylene signal enhancement,Fold Change: 9.06; LOD: 7.57,,,"Gene expression, Plant Transformation"
10855346.pdf,10.3390/ijms25031497,0.8,oryza sativa,Os04g0470901,Missense Mutation,Tiller bud formation,Fold Change: 2.03; LOD: 4.26,,,"Biosensing, Bud dormancy"
10855346.pdf,10.3390/ijms25031497,0.75,oryza sativa,Os04g0500600,Missense Mutation,Tiller bud outgrowth,Fold Change: 4.21; LOD: 4.67,,,"Flowering, Fruit Property"
7849391.pdf,10.1101/gr.259853.119,0.9,arabidopsis thaliana,Col-0,Mutation,Increased mutation rate under high temperature,92 SNVs; 109 deletions; 29 insertions,,,"Genome editing, Mutation studies"
6433927.pdf,10.1038/s42003-019-0354-1,0.9,maize,ZmCYP94B1,overexpression,feminization of tassels,JA levels decreased; 12OH-JA-Ile levels increased,,,"Above-ground biomass property, Flowering"
6371443.pdf,10.1186/s12864-019-5493-8,0.9,litchi chinensis,LcAIL6,RNA-seq analysis,Floral abortion under high temperature,Expression down-regulated in SP compared to DP,,,"Flowering, Floral Property"
6371443.pdf,10.1186/s12864-019-5493-8,0.9,litchi chinensis,LcLHY,RNA-seq analysis,Floral abortion under high temperature,Expression up-regulated in SP compared to DP,,,"Flowering, Floral Property"
6371443.pdf,10.1186/s12864-019-5493-8,0.9,litchi chinensis,LcMED16,RNA-seq analysis,Floral abortion under high temperature,Expression down-regulated in SP compared to DP,,,"Flowering, Floral Property"
6371443.pdf,10.1186/s12864-019-5493-8,0.9,litchi chinensis,LcSKIP20,RNA-seq analysis,Floral abortion under high temperature,Expression down-regulated in SP compared to DP,,,"Flowering, Floral Property"
6371443.pdf,10.1186/s12864-019-5493-8,0.9,litchi chinensis,LcPOD20,RNA-seq analysis,Floral abortion under high temperature,Expression down-regulated in SP compared to DP,,,"Flowering, Floral Property"
8306070.pdf,10.3390/microorganisms9071455,0.9,zea mays,vhb,Gene Expression,Enhanced growth performance under waterlogging conditions,Increased seedling height; Increased root dry weight; Increased primary root length,,,"Plant Transformation, Stress tolerance"
8306070.pdf,10.3390/microorganisms9071455,0.8,arabidopsis thaliana,vhb,Gene Expression,Enhanced tolerance to oxidative and nitrosative stress,Increased ascorbate biosynthesis,,,"Plant Transformation, Stress tolerance"
8306070.pdf,10.3390/microorganisms9071455,0.7,oryza sativa,vhb,Gene Expression,Enhanced productivity and herbicide tolerance,Increased resistance to glyphosate,,,"Plant Transformation, Pest resistance"
8306070.pdf,10.3390/microorganisms9071455,0.6,brassica oleracea,vhb,Gene Expression,Improved tolerance to submergence stress,Increased seed germination; Enhanced submergence tolerance,,,"Plant Transformation, Stress tolerance"
8306070.pdf,10.3390/microorganisms9071455,0.5,hordeum vulgare,vhb,Gene Expression,Impaired germination and rooting,Slower germination rate; Impaired rooting,,,"Plant Transformation, Stress tolerance"
5793319.pdf,10.3390/nu10010091,0.9,schisandra chinensis,Deoxyschizandrin,Natural compound,Cytotoxic activity,27.81 ± 3.44 µM (A2780); 70.34 ± 0.45 µM (OVCAR3); 67.99 ± 5.91 µM (SKOV3),,,"Pharmaceutical precursors, Anti-cancer activity"
11711184.pdf,10.1038/s41467-024-55808-4,0.9,cannabis sativa,CB1,Pharmacological,Receptor binding affinity,EC50 values for ligands; Emax values for ligands,,,"Gene expression, Pharmacology"
11711184.pdf,10.1038/s41467-024-55808-4,0.7,cannabis sativa,CB2,Pharmacological,Receptor binding affinity,EC50 values for ligands,,,"Gene expression, Pharmacology"
5595772.pdf,10.1111/pbi.12713,0.9,maize,Cry1F,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,PAT,Transgenic,Herbicide Tolerance,,,,Herbicide resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,Cry34Ab1,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,Cry35Ab1,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,AAD-1,Transgenic,Herbicide Tolerance,,,,Herbicide resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,Vip3Aa20,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,Cry1A.105,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,Cry2Ab2,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,CP4 EPSPS,Transgenic,Herbicide Tolerance,,,,Herbicide resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,Cry3Bb1,Transgenic,Insect Protection,,,,Pest resistance
5595772.pdf,10.1111/pbi.12713,0.9,maize,DVsnf7,Transgenic,Insect Protection,,,,Pest resistance
9623429.pdf,10.3389/fpls.2022.952428,0.9,arabidopsis thaliana,AtGCS,Promoter,High promoter activity in root meristem,GUS activity in initiation region; GUS activity in whole roots,AtGCS,,"Gene expression, Genome editing"
9623429.pdf,10.3389/fpls.2022.952428,0.85,soybean,Rj7,CRISPR/Cas9,Homozygous/biallelic mutations,76.7% (23/30) H/BM rate; 56.7% (17/30) for p2×35Spro-Cas9,AtGCS,,Genome editing
9623429.pdf,10.3389/fpls.2022.952428,0.8,l. japonicus,LjNLP4,CRISPR/Cas9,Homozygous/biallelic mutations,31.3% (5/16) for p2×35Spro-Cas9; 81.3% (13/16) for pAtGCSpro1178-Cas9,AtGCSpro,,Genome editing
9623429.pdf,10.3389/fpls.2022.952428,0.75,tomato,SlTRY,CRISPR/Cas9,Homozygous/biallelic mutations,Not specified,AtGCSpro,,Genome editing
9623429.pdf,10.3389/fpls.2022.952428,0.7,cucumber,GmNNL1Rfg1,CRISPR/Cas9,Homozygous/biallelic mutations,6.7% (2/30) for pAtGCSpro1178-Cas9,AtGCSpro,,Genome editing
4831815.pdf,10.1371/journal.pone.0153218,0.9,brassica rapa,Rcr1,Gene editing,Clubroot resistance,"DSI for pathotype 3: >80; DSI for pathotypes 2, 5, 6: 0-55",,,Disease resistance
4831815.pdf,10.1371/journal.pone.0153218,0.8,brassica rapa,CRa,Gene editing,Clubroot resistance,DSI for pathotype 2: 0-55,,,Disease resistance
4831815.pdf,10.1371/journal.pone.0153218,0.8,brassica rapa,Crr1,Gene editing,Clubroot resistance,DSI for pathotype 3: >80,,,Disease resistance
7356668.pdf,10.3390/plants9060757,0.9,abeliophyllum distichum,IL6R,Upregulated,Increased interleukin 6 receptor expression,log2 Fold Change: 2.65; p-Value: 0.0005,,,"Gene expression, Anti-melanoma activity"
7356668.pdf,10.3390/plants9060757,0.9,abeliophyllum distichum,CDKN1A,Upregulated,Increased cyclin-dependent kinase inhibitor 1A expression,log2 Fold Change: 1.82; p-Value: 0.0049,,,"Gene expression, Anti-melanoma activity"
7356668.pdf,10.3390/plants9060757,0.9,abeliophyllum distichum,NR4A1,Upregulated,Increased nuclear receptor subfamily 4 group A member 1 expression,log2 Fold Change: 1.36; p-Value: 0.0282,,,"Gene expression, Anti-melanoma activity"
7356668.pdf,10.3390/plants9060757,0.9,abeliophyllum distichum,CASP9,Downregulated,Decreased caspase-9 isoform alpha precursor expression,log2 Fold Change: -1.09; p-Value: 0.0023,,,"Gene expression, Anti-melanoma activity"
7356668.pdf,10.3390/plants9060757,0.9,abeliophyllum distichum,BCL2,Downregulated,Decreased apoptosis regulator Bcl-2 isoform alpha expression,log2 Fold Change: -1.27; p-Value: 0.0183,,,"Gene expression, Anti-melanoma activity"
3716973.pdf,10.1186/1471-2164-14-460,0.9,ipomoea batatas,Ibkn2,Overexpression,Increased storage root formation,Expression increased by 60-fold; Storage root yield increased by 4-8 per plant,,,"Above-ground biomass property, Storage, Fruit Property, Fruit yield"
3716973.pdf,10.1186/1471-2164-14-460,0.85,ipomoea batatas,Sporamin,Overexpression,Increased starch accumulation,Expression increased by 1466.5-fold; Starch levels increased by 1 mg g fw⁻¹,,,"Storage, Nutrient utilization, Fruit Property, Fruit yield"
3716973.pdf,10.1186/1471-2164-14-460,0.8,ipomoea batatas,AGPase,Overexpression,Increased starch biosynthesis,Expression increased by 100-fold; Starch biosynthesis up-regulated,,,"Storage, Nutrient utilization, Fruit Property, Fruit yield"
5873917.pdf,10.1534/g3.118.200040,0.9,arabidopsis thaliana,SOB5,Overexpression,Dwarf phenotype; Reduced apical dominance; Smaller rosette leaves; Retarded root growth; Delayed senescence,Elevated levels of cytokinin nucleotides and nucleosides: trans-zeatin riboside (tZR); trans-zeatin riboside monophosphate (tZRMP); N6-(Δ2-isopentenyl)adenosine monophosphate (iPRMP),,,"Gene expression, Plant Transformation, Leaf property"
5873917.pdf,10.1534/g3.118.200040,0.9,arabidopsis thaliana,AtSOFL1,Overexpression,Dwarf phenotype; Reduced apical dominance; Smaller rosette leaves; Retarded root growth; Delayed senescence,Elevated levels of cytokinin nucleotides and nucleosides: trans-zeatin riboside (tZR); trans-zeatin riboside monophosphate (tZRMP); N6-(Δ2-isopentenyl)adenosine monophosphate (iPRMP),,,"Gene expression, Plant Transformation, Leaf property"
5873917.pdf,10.1534/g3.118.200040,0.9,arabidopsis thaliana,AtSOFL2,Overexpression,Dwarf phenotype; Reduced apical dominance; Smaller rosette leaves; Retarded root growth; Delayed senescence,Elevated levels of cytokinin nucleotides and nucleosides: trans-zeatin riboside (tZR); trans-zeatin riboside monophosphate (tZRMP); N6-(Δ2-isopentenyl)adenosine monophosphate (iPRMP),,,"Gene expression, Plant Transformation, Leaf property"
10199469.pdf,10.1186/s12906-023-03994-x,0.9,origanum majorana,Rosmarinic Acid (RA),Phytochemical,"Antioxidant activity, Neuroprotective effects",264.02 μg GAE/mg extract; 4.37 μg QE/mg extract,,,"Pharmaceutical precursors, Neuroprotection"
8139003.pdf,10.1186/s12870-021-02994-8,0.9,nicotiana benthamiana,NbenIDA1A,Overexpression,Premature corolla senescence and altered abscission,Corolla length: 1.8 cm; Break strength: 9 gf,,,"Flowering, Above-ground biomass property"
8139003.pdf,10.1186/s12870-021-02994-8,0.8,nicotiana benthamiana,NbenHAE.1,Silencing,Arrested corolla abscission,Corolla abscission: 18%; Break strength: 30 gf,,,"Flowering, Above-ground biomass property"
7216248.pdf,10.3390/ijms21082695,0.9,arabidopsis,DREB1A,Overexpression,Drought stress tolerance,Root length density increased; enhanced pod yield,,,"Above-ground biomass property, Disease resistance"
7216248.pdf,10.3390/ijms21082695,0.9,rice,OsNAC6,Overexpression,Drought stress tolerance,Root number increased; root diameter increased,,,"Root Property, Water Utilization"
7216248.pdf,10.3390/ijms21082695,0.9,rice,OsNAC10,Overexpression,Drought stress tolerance,Grain yield increased,,,"Seed Yield, Disease resistance"
7216248.pdf,10.3390/ijms21082695,0.9,arabidopsis,AtNAC2,Overexpression,Water stress tolerance,Survival rate increased under limited water conditions,,,"Water Utilization, Disease resistance"
7216248.pdf,10.3390/ijms21082695,0.9,rice,OsNAC5,Overexpression,Drought stress tolerance,Root diameter increased; grain yield increased,,,"Root Property, Seed Yield"
7216248.pdf,10.3390/ijms21082695,0.9,arabidopsis,GBF3,Overexpression,Drought and heat stress tolerance,Survival rate increased under drought and heat stress,,,"Water Utilization, Disease resistance"
4302606.pdf,10.1186/s12870-014-0359-3,0.9,zea mays,ZmUBI1,Promoter Replacement,Increased transcription,Higher transcript accumulation in leaves and roots of V3 stage plants compared to SCBV-IM::AAD1 events; similar levels in leaves of V8 stage plants,ZmUBI1,,"Gene expression, Plant Transformation"
4302606.pdf,10.1186/s12870-014-0359-3,0.85,zea mays,AAD1,Gene Expression,Increased transcript accumulation,Significantly higher AAD1 transcript accumulation in SCBV-IM::AAD1 events in V3 leaves and V3/V8 roots compared to ZmUBI1::AAD1 events,CaMV 35S,,"Gene expression, Plant Transformation"
4302606.pdf,10.1186/s12870-014-0359-3,0.8,zea mays,Multiple endogenous genes,Enhancer Activity,Increased transcript accumulation,Up to 10-fold increase in transcript accumulation for some genes; ectopic expression observed in 2 out of 8 genes,CaMV 35S,,"Gene expression, Activation Tagging, Plant Transformation"
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,CHS1,Gene expression,Expression of CHS1 gene,Expression level increased 10-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,PKR1,Gene expression,Expression of PKR1 gene,Expression level increased 5-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,IFS1,Gene expression,Expression of IFS1 gene,Expression level increased 8-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,HID,Gene expression,Expression of HID gene,Expression level increased 4-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,I20H,Gene expression,Expression of I20H gene,Expression level increased 3-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,IFR1,Gene expression,Expression of IFR1 gene,Expression level increased 6-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,VR2,Gene expression,Expression of VR2 gene,Expression level increased 7-fold after GSH treatment,,,Gene expression
2779890.pdf,10.1093/dnares/dsm004,0.9,lotus japonicus,PTR3,Gene expression,Expression of PTR3 gene,Expression level increased 9-fold after GSH treatment,,,Gene expression
7982816.pdf,10.3389/fpls.2021.631470,0.9,glycine max (soybean),GmPI-PLC7,Overexpression,Increased drought tolerance,Survival rate: 100%; ROS accumulation: Decreased,,,Drought tolerance
7982816.pdf,10.3389/fpls.2021.631470,0.9,glycine max (soybean),GmPI-PLC7,RNAi,Decreased drought tolerance,Survival rate: 40%; ROS accumulation: Increased,,,Drought tolerance
7982816.pdf,10.3389/fpls.2021.631470,0.9,glycine max (soybean),GmPI-PLC7,Overexpression,Increased salt tolerance,Survival rate: 100%; ROS accumulation: Decreased,,,Salt tolerance
7982816.pdf,10.3389/fpls.2021.631470,0.9,glycine max (soybean),GmPI-PLC7,RNAi,Decreased salt tolerance,Survival rate: 40%; ROS accumulation: Increased,,,Salt tolerance
6130404.pdf,10.1073/pnas.1810458115,0.9,arabidopsis thaliana,GLES1,Mutation,Achlorophyllous guard cells with impaired stomatal responses,Chlorophyll fluorescence in guard cells: 12.2 ± 1.2% (Type I); 70.0 ± 1.5% (Type II); 17.8 ± 1.5% (Type III),,,"Photosynthesis, Leaf property, Stomatal function"
6130404.pdf,10.1073/pnas.1810458115,0.8,arabidopsis thaliana,"TGD Complex (TGD1, TGD2, TGD3, TGD4)",Mutation,Reduced chlorophyll fluorescence in guard cells,Chlorophyll fluorescence in guard cells: WT vs mutant,,,"Photosynthesis, Leaf property, Stomatal function"
9027564.pdf,10.3390/ijms23084242,0.9,arabidopsis thaliana,AtBES1,Gene Expression,BR signaling regulation,"Expression levels: AtBES1-7 highest; AtBES1-2, AtBES1-8 in seedlings",,,"Gene expression, Above-ground biomass property"
9027564.pdf,10.3390/ijms23084242,0.9,oryza sativa,OsBES1,Gene Expression,BR signaling regulation,"Expression levels: OsBES1-5, OsBES1-4, OsBES1-2, OsBES1-6 higher; OsBES1-3 at reproductive stages",,,"Gene expression, Above-ground biomass property"
9027564.pdf,10.3390/ijms23084242,0.9,gossypium hirsutum,GhBES1,Gene Expression,BR signaling regulation,"Expression levels: GhBES1-4, GhBES1-12 high in all tissues; GhBES1-2, GhBES1-12 high in ovule and fiber",,,"Gene expression, Above-ground biomass property"
4926338.pdf,10.3390/ijms17060804,0.9,arabidopsis thaliana,PutRUB,Overexpression,Increased NaCl and NaHCO3 tolerance,Root length: 3 cm (PutRUB) vs 4 cm (WT); Fresh weight: 0.15 g (PutRUB) vs 0.2 g (WT),,,"Drought tolerance, Stress response"
8048663.pdf,10.1111/nph.17213,0.9,nicotiana benthamiana,"SbDES2, SbDES3, SbARS2, SbOMT3, CYP71AM1",Overexpression,"Necrotic lesions, phytotoxicity, downregulation of photosynthesis genes",Necrotic lesion development at 3 dpi: 4 ng/g-fresh leaf; 4 dpi: 8 ng/g-fresh leaf; 5 dpi: 12 ng/g-fresh leaf; 6 dpi: 16 ng/g-fresh leaf,,,"Gene expression, Biosensing, Plant Transformation"
7216267.pdf,10.3390/ijms21082909,0.9,allium cepa l.,quercetin,extraction optimization,quercetin yield,7.96 mg/g; 18.7 mg/g,,,"Chemicals, Pharmaceutical precursors"
7925898.pdf,10.3389/fpls.2021.645218,0.9,zea mays,MKAKU41,Overexpression,Nuclear invaginations and deformation,Type I: 40%; Type II: 53%; Type III: 7%,,,"Gene expression, Above-ground biomass property"
7925898.pdf,10.3389/fpls.2021.645218,0.85,zea mays,NCH1,Overexpression,Nuclear invaginations and deformation,Type I: 60%; Type II: 40%,,,"Gene expression, Above-ground biomass property"
7925898.pdf,10.3389/fpls.2021.645218,0.8,zea mays,NCH2,Overexpression,Nuclear invaginations and deformation,Type I: 77%; Type II: 23%,,,"Gene expression, Above-ground biomass property"
4992245.pdf,10.1186/s12870-016-0867-4,0.9,arabidopsis thaliana,MYB33,miR159-mediated repression,Continually repressed MYB33 expression,MYB33 mRNA levels fluctuated throughout rosette development; CP1 mRNA levels remained low,,,Gene expression
4992245.pdf,10.1186/s12870-016-0867-4,0.9,arabidopsis thaliana,MYB65,miR159-mediated repression,Continually repressed MYB65 expression,MYB65 mRNA levels fluctuated throughout rosette development; CP1 mRNA levels remained low,,,Gene expression
4992245.pdf,10.1186/s12870-016-0867-4,0.9,arabidopsis thaliana,CP1,Downstream target of MYB33/65,Low mRNA levels throughout rosette development,CP1 mRNA levels remained low; increased in mir159ab mutants,,,Gene expression
9820233.pdf,10.3390/ijms24010006,0.9,rice,qDTY1.1,QTL,Grain Yield,Grain yield increased under drought conditions,,,Above-ground biomass yield
9820233.pdf,10.3390/ijms24010006,0.9,rice,qDTY12.1,QTL,Grain Yield,Grain yield increased under drought conditions,,,Above-ground biomass yield
9820233.pdf,10.3390/ijms24010006,0.9,rice,qPSLht4.1,QTL,Heat Tolerance,Improved pollen shedding and growth under heat stress,,,Drought tolerance
9820233.pdf,10.3390/ijms24010006,0.9,rice,qPSLht7,QTL,Heat Tolerance,Improved pollen shedding and growth under heat stress,,,Drought tolerance
9820233.pdf,10.3390/ijms24010006,0.9,rice,qPSLht10.2,QTL,Heat Tolerance,Improved pollen shedding and growth under heat stress,,,Drought tolerance
11711121.pdf,10.1002/tpg2.20542,0.9,solanum lycopersicum,SlHP2,CRISPR/Cas9,"Enhanced water retention, reduced stomatal density, less oxidative damage","Water loss percentage: WT 11%, mutant 8.5%-10%; MDA content: WT 10 μmole/g FW, mutant 8 μmole/g FW; Electrolyte leakage: WT 32%, mutant 26%",,,"Drought tolerance, Water Utilization"
11711121.pdf,10.1002/tpg2.20542,0.9,solanum lycopersicum,SlHP3,CRISPR/Cas9,"Enhanced water retention, reduced stomatal density, less oxidative damage","Water loss percentage: WT 11%, mutant 8.5%-10%; MDA content: WT 10 μmole/g FW, mutant 8 μmole/g FW; Electrolyte leakage: WT 32%, mutant 26%",,,"Drought tolerance, Water Utilization"
5655013.pdf,10.3389/fpls.2017.01811,0.9,vitis vinifera,VvVHP1;2,Overexpression,Anthocyanin accumulation,Anthocyanin content increased by 6-fold; VvVHP1;2 expression increased by 6-fold,35S,,"Above-ground biomass property, Fruit Property, Anthocyanin accumulation"
6508531.pdf,10.1002/pld3.49,0.9,rice,RSOsPR10,Transcriptional Regulation,Root-specific expression of RSOsPR10,GUS mRNA levels: 0.3 (mock) vs. 2.34 (JA-treated),RSOsPR10 promoter,nopaline synthase terminator,"Above-ground biomass property, Drought tolerance"
6508531.pdf,10.1002/pld3.49,0.8,rice,OsWRKY76,Transcriptional Repression,Suppression of RSOsPR10 expression,RSOsPR10 expression levels: 1.0 (wild-type) vs. 0.3 (OsWRKY76-KO),RSOsPR10,NOS,"Disease resistance, Drought tolerance"
6508531.pdf,10.1002/pld3.49,0.7,rice,OsERF87,Transcriptional Activation,Induction of RSOsPR10 expression,RSOsPR10 expression levels: 0.5 (wild-type) vs. 1.5 (OsERF87 overexpressing),RSOsPR10 promoter,NOS terminator,"Drought tolerance, Root Property"
3871816.pdf,10.1093/jxb/ert327,0.9,arabidopsis thaliana,AP-3μ,Insertional Mutant,ABA Hypersensitivity,Germination rate in 0 μM ABA: 100%; Germination rate in 0.5 μM ABA: 90%; Germination rate in 1 μM ABA: 85%; Germination rate in 2 μM ABA: 80%,,,"Plant Transformation, Above-ground biomass property"
3871816.pdf,10.1093/jxb/ert327,0.9,arabidopsis thaliana,AGB1,Insertional Mutant,ABA Hypersensitivity,Germination rate in 0 μM ABA: 100%; Germination rate in 0.5 μM ABA: 95%; Germination rate in 1 μM ABA: 90%; Germination rate in 2 μM ABA: 85%,,,"Plant Transformation, Above-ground biomass property"
4461154.pdf,10.1007/s10658-013-0173-z,0.9,vitis vinifera,VvEXPA15,Up-regulation,Cell wall loosening,Fold change >2.0,,,"Gene expression, Above-ground biomass property"
